metric,low,mid,high,train_start,test_start,test_end,asset
0.32594721863112397,0.004709843546152115,0.16209682822227478,0.8331933617591858,2010-01-05,2011-01-04,2011-01-11,CA_CMDT_DIRECTIONAL_SECOND_TU
0.406410639141731,0.00138596270699054,0.08678418397903442,0.9118298888206482,2010-01-12,2011-01-11,2011-01-18,AE_CMDT_DIRECTIONAL_FRONT_TU
0.15807873193250405,0.001002431265078485,0.08263161033391953,0.916365921497345,2010-01-19,2011-01-18,2011-01-25,AE_CMDT_DIRECTIONAL_SECOND_TU
0.29658212717427945,0.0008514110231772065,0.6786820888519287,0.320466548204422,2010-01-26,2011-01-25,2011-02-01,AK_CMDT_DIRECTIONAL_FRONT_TU
0.2879861175635337,0.0009495175909250975,0.6236318349838257,0.37541863322257996,2010-02-02,2011-02-01,2011-02-08,AK_CMDT_DIRECTIONAL_SECOND_TU
0.1344194788707147,0.0006873952224850655,0.5079773664474487,0.4913352131843567,2010-02-09,2011-02-08,2011-02-15,AUA_CMDT_DIRECTIONAL_FRONT_TU
0.4558789561278487,0.000642810482531786,0.5315985679626465,0.4677585959434509,2010-02-16,2011-02-15,2011-02-22,AUA_CMDT_DIRECTIONAL_SECOND_TU
0.11780068754548356,0.004531256388872862,0.23414085805416107,0.7613279223442078,2010-02-23,2011-02-22,2011-03-01,AX_CMDT_DIRECTIONAL_FRONT_TU
0.30668865868310224,0.003790884744375944,0.26712265610694885,0.7290864586830139,2010-03-02,2011-03-01,2011-03-08,AX_CMDT_DIRECTIONAL_SECOND_TU
0.16272872522562015,0.001455105608329177,0.11049111187458038,0.8880537152290344,2010-03-09,2011-03-08,2011-03-15,BO_CMDT_DIRECTIONAL_FRONT_TU
-0.003297855055936938,0.0014983090804889798,0.11006084829568863,0.8884408473968506,2010-03-16,2011-03-15,2011-03-22,BO_CMDT_DIRECTIONAL_SECOND_TU
0.1258052294097987,0.0006414929521270096,0.5166369676589966,0.4827215373516083,2010-03-23,2011-03-22,2011-03-29,BP_CMDT_DIRECTIONAL_FRONT_TU
0.2326420264254424,0.0016911154380068183,0.7420400977134705,0.25626882910728455,2010-03-30,2011-03-29,2011-04-05,BP_CMDT_DIRECTIONAL_SECOND_TU
0.10851342513103679,0.006986100226640701,0.19931331276893616,0.7937005758285522,2010-04-06,2011-04-05,2011-04-12,AA_CMDT_DIRECTIONAL_SECOND_TU
0.10596117862020105,0.003916408400982618,0.1689581722021103,0.8271253705024719,2010-04-13,2011-04-12,2011-04-19,AA_CMDT_DIRECTIONAL_FRONT_TU
0.5040384534029085,0.0008953495416790247,0.03822186961770058,0.960882842540741,2010-04-20,2011-04-19,2011-04-26,CT_CMDT_DIRECTIONAL_FRONT_TU
0.32618678195985806,0.0020502752158790827,0.12806934118270874,0.8698803782463074,2010-04-27,2011-04-26,2011-05-03,CT_CMDT_DIRECTIONAL_SECOND_TU
0.20036445387098809,0.017321595922112465,0.7067869901657104,0.2758914530277252,2010-05-04,2011-05-03,2011-05-10,CC_CMDT_DIRECTIONAL_FRONT_TU
0.1561360390576969,0.018660273402929306,0.7069212198257446,0.27441850304603577,2010-05-11,2011-05-10,2011-05-17,CC_CMDT_DIRECTIONAL_SECOND_TU
0.18733284213925372,0.022825846448540688,0.6839775443077087,0.29319658875465393,2010-05-18,2011-05-17,2011-05-24,CFD_CMDT_DIRECTIONAL_FRONT_TU
0.39544908464764666,0.018400518223643303,0.6904740333557129,0.29112541675567627,2010-05-25,2011-05-24,2011-05-31,CFD_CMDT_DIRECTIONAL_SECOND_TU
0.44732814791456527,0.018042070791125298,0.58526611328125,0.39669179916381836,2010-06-01,2011-05-31,2011-06-07,CHE_CMDT_DIRECTIONAL_FRONT_TU
-0.03559401511095242,0.0014147686306387186,0.42504021525382996,0.5735450387001038,2010-06-08,2011-06-07,2011-06-14,CB_CMDT_DIRECTIONAL_FRONT_TU
0.344818073277368,0.004640437662601471,0.2012610286474228,0.7940984964370728,2010-06-15,2011-06-14,2011-06-21,CA_CMDT_DIRECTIONAL_FRONT_TU
0.1822734452525618,0.007252527866512537,0.5563830733299255,0.4363643527030945,2010-06-22,2011-06-21,2011-06-28,CHE_CMDT_DIRECTIONAL_SECOND_TU
0.5409868817969724,0.000556229380890727,0.228389710187912,0.7710540890693665,2010-06-29,2011-06-28,2011-07-05,CL_CMDT_DIRECTIONAL_SECOND_TU
0.19500427860508707,0.0003181922365911305,0.18174521625041962,0.8179365992546082,2010-07-06,2011-07-05,2011-07-12,CO_CMDT_DIRECTIONAL_FRONT_TU
0.27161238637784074,0.00034929346293210983,0.19802258908748627,0.8016281127929688,2010-07-13,2011-07-12,2011-07-19,CO_CMDT_DIRECTIONAL_SECOND_TU
0.15179258253905792,0.016681475564837456,0.21092350780963898,0.7723950743675232,2010-07-20,2011-07-19,2011-07-26,CRD_CMDT_DIRECTIONAL_FRONT_TU
0.1852142034135929,0.018999794498085976,0.22130367159843445,0.7596965432167053,2010-07-27,2011-07-26,2011-08-02,CRD_CMDT_DIRECTIONAL_SECOND_TU
0.13024439610946092,0.0003867755876854062,0.16266395151615143,0.8369492888450623,2010-08-03,2011-08-02,2011-08-09,CL_CMDT_DIRECTIONAL_FRONT_TU
-0.050092142739878665,0.0006484012119472027,0.16548195481300354,0.8338696956634521,2010-08-10,2011-08-09,2011-08-16,HO_CMDT_DIRECTIONAL_FRONT_TU
0.5420170593457052,0.002532007871195674,0.2819601595401764,0.7155078649520874,2010-08-17,2011-08-16,2011-08-23,C_CMDT_DIRECTIONAL_FRONT_TU
